Team,Season,GP,Shots,SAT For,SAT Agst,SAT,SAT Tied,SAT Ahead,SAT Behind,SAT Close,USAT For,USAT Agst,USAT,USAT Tied,USAT Ahead,USAT Behind,USAT Close
Ottawa Senators,20182019,82,1956,3603,4421,-818,-274,-428,-116,-486,2710,3250,-540,-179,-234,-127,-304
Vegas Golden Knights,20192020,71,1951,3566,2945,621,185,140,296,295,2700,2210,490,150,150,190,251
Montréal Canadiens,20192020,71,1963,3656,3061,595,176,162,257,332,2682,2310,372,114,143,115,203
Carolina Hurricanes,20192020,68,1741,3222,2709,513,159,19,335,316,2435,2106,329,114,22,193,200
Los Angeles Kings,20192020,70,1849,3453,3052,401,75,-34,360,152,2617,2344,273,58,-19,234,97
Toronto Maple Leafs,20192020,70,1844,3466,3196,270,186,-56,140,184,2598,2463,135,114,-12,33,82
Tampa Bay Lightning,20192020,70,1676,3129,2863,266,29,89,148,118,2343,2202,141,-34,113,62,17
Colorado Avalanche,20192020,70,1779,3271,3066,205,162,-68,111,306,2401,2269,132,91,0,41,201
Washington Capitals,20192020,69,1672,3123,2930,193,31,-13,175,139,2341,2218,123,1,44,78,95
Nashville Predators,20192020,69,1775,3276,3155,121,34,-113,200,10,2491,2334,157,46,-8,119,53
Pittsburgh Penguins,20192020,69,1738,3035,2920,115,-36,-60,211,25,2318,2183,135,8,8,119,52
Philadelphia Flyers,20192020,69,1654,2977,2870,107,36,-62,133,120,2241,2172,69,-24,8,85,42
Boston Bruins,20192020,70,1694,3036,2940,96,24,-78,150,84,2315,2235,80,-11,10,81,49
St. Louis Blues,20192020,71,1737,2986,2894,92,78,-70,84,107,2296,2228,68,55,-30,43,53
San Jose Sharks,20192020,70,1645,3086,3021,65,81,-97,81,114,2267,2260,7,53,-29,-17,96
Calgary Flames,20192020,70,1742,3299,3256,43,17,-89,115,-2,2477,2506,-29,20,-62,13,-20
Florida Panthers,20192020,69,1755,3079,3108,-29,-45,-52,68,-65,2338,2332,6,-33,11,28,-57
Minnesota Wild,20192020,69,1658,3050,3098,-48,81,-213,84,29,2286,2312,-26,77,-96,-7,43
Dallas Stars,20192020,69,1625,3014,3081,-67,56,-156,33,-41,2211,2270,-59,8,-64,-3,-51
Buffalo Sabres,20192020,69,1585,2852,2953,-101,-4,-142,45,7,2199,2322,-123,14,-74,-63,4
Columbus Blue Jackets,20192020,70,1841,3133,3242,-109,-27,-171,89,-50,2427,2339,88,51,-59,96,83
Winnipeg Jets,20192020,71,1714,3157,3347,-190,-130,-223,163,-156,2368,2610,-242,-132,-167,57,-160
Chicago Blackhawks,20192020,70,1746,3155,3356,-201,-154,-167,120,-198,2321,2515,-194,-116,-112,34,-167
Vancouver Canucks,20192020,69,1652,3060,3261,-201,-81,-246,126,-64,2313,2400,-87,-59,-96,68,-16
Arizona Coyotes,20192020,70,1761,3167,3382,-215,-118,-158,61,-160,2407,2574,-167,-78,-81,-8,-102
Anaheim Ducks,20192020,71,1674,3143,3364,-221,-68,-194,41,-79,2413,2580,-167,-45,-134,12,-66
Ottawa Senators,20192020,71,1707,3211,3444,-233,-149,-115,31,-171,2425,2571,-146,-114,-29,-3,-97
Edmonton Oilers,20192020,71,1674,3037,3310,-273,-27,-214,-32,-162,2295,2457,-162,-29,-118,-15,-132
New York Rangers,20192020,70,1685,2973,3391,-418,-176,-251,9,-285,2289,2533,-244,-95,-129,-20,-170
New York Islanders,20192020,68,1601,2971,3418,-447,-131,-283,-33,-240,2179,2487,-308,-72,-148,-88,-165
Detroit Red Wings,20192020,71,1503,2697,3166,-469,-146,-217,-106,-345,2070,2432,-362,-92,-146,-124,-235
New Jersey Devils,20192020,69,1589,2847,3330,-483,-120,-201,-162,-322,2184,2474,-290,-41,-101,-148,-184
Colorado Avalanche,20202021,56,1480,2829,1963,866,292,358,216,539,2059,1464,595,163,301,131,350
Montréal Canadiens,20202021,56,1414,2704,2256,448,183,119,146,271,1958,1690,268,134,84,50,185
Boston Bruins,20202021,56,1461,2541,2149,392,195,53,144,272,1995,1626,369,171,89,109,247
Carolina Hurricanes,20202021,56,1408,2609,2249,360,195,112,53,251,1969,1727,242,107,124,11,148
Vegas Golden Knights,20202021,56,1404,2713,2369,344,122,90,132,205,1975,1701,274,105,86,83,167
Florida Panthers,20202021,56,1462,2455,2134,321,145,-3,179,222,1922,1651,271,138,31,102,205
Calgary Flames,20202021,56,1297,2443,2167,276,9,55,212,101,1844,1666,178,8,60,110,71
Dallas Stars,20202021,56,1350,2503,2227,276,122,-25,179,204,1844,1660,184,73,24,87,131
Tampa Bay Lightning,20202021,56,1315,2321,2105,216,38,64,115,175,1781,1618,163,17,92,55,118
Philadelphia Flyers,20202021,56,1294,2440,2253,187,-7,-7,201,43,1821,1718,103,-8,9,102,8
Toronto Maple Leafs,20202021,56,1364,2455,2357,98,81,-63,80,151,1884,1762,122,56,40,26,106
Washington Capitals,20202021,56,1280,2375,2327,48,-22,17,53,87,1794,1780,14,-13,42,-15,38
New Jersey Devils,20202021,56,1300,2419,2372,47,45,-93,95,-2,1835,1870,-35,13,-85,37,-44
Pittsburgh Penguins,20202021,56,1346,2347,2300,47,50,-36,33,51,1798,1757,41,27,-15,29,32
Nashville Predators,20202021,56,1321,2375,2380,-5,-29,-50,74,-66,1856,1800,56,-1,-3,60,-21
Anaheim Ducks,20202021,56,1214,2380,2493,-113,-132,-29,48,-136,1742,1888,-146,-97,-28,-21,-125
Arizona Coyotes,20202021,56,1208,2318,2443,-125,-33,-124,32,-129,1737,1835,-98,-26,-76,4,-102
Edmonton Oilers,20202021,56,1295,2384,2519,-135,-45,-174,84,-59,1777,1873,-96,-46,-79,29,-49
New York Islanders,20202021,56,1294,2301,2438,-137,-54,5,-88,-108,1742,1786,-44,-31,57,-70,-48
Ottawa Senators,20202021,56,1304,2457,2601,-144,-95,-80,31,-112,1861,1951,-90,-57,-27,-6,-76
