Team,Season,GP,P,P%,GF,GA,GF%,SAT%,SAT% Ahead,SAT% Tied,SAT% Behind,SAT% Close,USAT %,USAT% Ahead,USAT% Tied,USAT% Behind,USAT% Close,5v5 OZ%,5v5 S%,5v5 Sv%,5v5 S%+Sv%
Winnipeg Jets,20192020,71,80,0.563,690,710,49.3,48.5,44,47.1,53.4,48,47.6,44.3,46.1,51.6,47.3,53.2,8.1,92.4,100.5
Chicago Blackhawks,20192020,70,72,0.514,735,735,50,48.5,46.3,46.3,52.8,47.4,48,46.7,46.3,51.1,47,50.2,8.4,92.5,100.9
Vancouver Canucks,20192020,69,78,0.565,710,730,49.3,48.4,44.3,48,52.9,49.1,49.1,47,48,52,49.7,47.1,8.6,91.8,100.4
Arizona Coyotes,20192020,70,74,0.529,640,635,50.2,48.4,46.3,47.6,51.5,48.1,48.3,47.5,47.8,49.7,48.4,48.6,7.3,92.9,100.2
Anaheim Ducks,20192020,71,67,0.472,650,735,46.9,48.3,45,48.5,50.9,49,48.3,45.6,48.7,50.3,48.9,49,7.8,91.9,99.6
Ottawa Senators,20192020,71,62,0.437,645,775,45.4,48.2,46.4,46.7,50.5,47.9,48.5,48.8,46.7,49.9,48.4,47.8,7.6,91.7,99.2
Edmonton Oilers,20192020,71,83,0.585,710,785,47.5,47.8,45.4,49.3,49.2,47.9,48.3,46.6,49,49.5,47.6,49.9,8.5,91.2,99.7
New York Rangers,20192020,70,79,0.564,750,715,51.2,46.7,44.6,45.8,50.2,46.2,47.5,46.4,47,49.3,47,49.9,8.9,92,100.9
New York Islanders,20192020,68,80,0.588,630,665,48.7,46.5,43.5,47.1,49.2,47,46.7,45.4,47.8,47,47.2,47.5,7.9,92.3,100.2
New Jersey Devils,20192020,69,68,0.493,605,780,43.7,46.1,44.8,47.1,46.3,45.9,46.9,46.5,48.7,45.6,46.9,46.8,7.6,91.3,98.9
Detroit Red Wings,20192020,71,39,0.275,460,840,35.4,46,40.5,46.2,48.1,45,46,41.5,46.8,47.2,45.5,46.2,6.1,90.5,96.7
Colorado Avalanche,20202021,56,82,0.732,655,440,59.8,59,58.3,59,60.8,59.2,58.4,59.1,57,59.2,58.2,56.2,8.9,91.7,100.5
Montréal Canadiens,20202021,56,59,0.527,530,515,50.7,54.5,53.9,55.7,54,54.5,53.7,53.8,55.6,51.8,54.2,53,7.5,91.4,98.9
Boston Bruins,20202021,56,73,0.652,530,450,54.1,54.2,51.6,55.3,56.2,54.4,55.1,53.3,56.2,56,55.2,52.6,7.3,92.2,99.4
Carolina Hurricanes,20202021,56,80,0.714,525,405,56.5,53.7,53.1,54.5,53,53.8,53.3,54.5,53.3,50.8,53,50.1,7.5,93.5,101
Florida Panthers,20202021,56,79,0.705,575,465,55.3,53.5,49.9,54.4,57.5,53.9,53.8,51.2,55.4,55.5,54.7,51.1,7.9,92.5,100.4
Vegas Golden Knights,20202021,56,82,0.732,675,485,58.2,53.4,52.1,53.6,55.4,53.3,53.7,52.7,54.4,54.7,53.8,55.5,9.6,92.1,101.7
Calgary Flames,20202021,56,55,0.491,550,515,51.6,53,51.8,50.3,56.5,51.8,52.5,52.5,50.3,54.5,51.6,52.5,8.5,91.6,100
Dallas Stars,20202021,56,60,0.536,505,465,52.1,52.9,49.2,53.9,55.2,53.5,52.6,51.2,53.2,53.4,53,51.6,7.5,92,99.4
Tampa Bay Lightning,20202021,56,75,0.67,555,485,53.4,52.4,51.8,51.3,54.8,53.4,52.4,53.4,50.8,53,53,55.6,8.4,92.1,100.5
Philadelphia Flyers,20202021,56,58,0.518,535,670,44.4,52,49.6,49.8,55.1,50.7,51.4,50.6,49.7,53.4,50.2,50.8,8.3,89.5,97.8
Toronto Maple Leafs,20202021,56,77,0.688,665,475,58.3,51,48.5,52.5,53.9,52.5,51.7,51.2,52.3,51.7,52.3,52.9,9.8,92.4,102.1
Washington Capitals,20202021,56,77,0.688,635,530,54.5,50.5,50.5,49.5,52.4,51.5,50.2,51.6,49.6,49.1,50.9,52,9.9,91.7,101.6
Pittsburgh Penguins,20202021,56,77,0.688,630,500,55.8,50.5,49.1,51.6,51.4,50.9,50.6,49.5,51.1,51.6,50.8,50.7,9.4,92.4,101.8
New Jersey Devils,20202021,56,45,0.402,510,615,45.3,50.5,46.6,51.3,52.7,50,49.5,46,50.5,51.3,49,45.8,7.9,91.1,98.9
Nashville Predators,20202021,56,64,0.571,515,445,53.7,50,48.1,49.2,52.3,48.9,50.8,49.9,50,52.4,49.5,49.5,7.8,93.5,101.3
Anaheim Ducks,20202021,56,43,0.384,500,605,45.3,48.8,48.8,46.1,51.2,47.7,48,48.5,46.1,49.3,47.2,48.3,8.2,91.1,99.4
Arizona Coyotes,20202021,56,54,0.482,490,575,46,48.7,44.6,49,50.8,47.7,48.6,45.5,48.9,50.1,47.6,49.7,8.1,91.3,99.4
Edmonton Oilers,20202021,56,72,0.643,575,585,49.6,48.6,45.3,48.6,53.1,49,48.7,47.2,48.1,51.5,48.9,50.6,8.9,91.5,100.4
Ottawa Senators,20202021,56,51,0.455,520,655,44.3,48.6,46.9,47.3,50.8,48,48.8,48.6,47.8,49.8,48.2,44,8,90.7,98.7
New York Islanders,20202021,56,71,0.634,560,445,55.7,48.6,50.2,48.6,46.2,48.2,49.4,52.4,48.9,45.9,48.9,49.7,8.7,93,101.7
Winnipeg Jets,20202021,56,63,0.563,550,505,52.1,48.3,46.9,46,52.1,47,48.3,48.6,45.7,50.7,47.1,51.6,8.6,92.4,101
